ID,DYear,DMonth,DustStorm,SuspendDust,RisingDust,Rain,SunShine,DryTemperature,MaxTemperature,MinTemperature,Humidity,Evaporation,Pressure
"1","1991","1","0","1","0","2","2","1","1","1","4","1","4"
"2","1991","2","0","1","1","2","2","1","1","1","4","1","3"
"3","1991","3","1","1","1","1","2","2","2","2","3","1","3"
"4","1991","4","0","2","1","1","2","3","3","3","2","2","3"
"5","1991","5","2","2","2","1","3","4","4","3","2","3","2"
"6","1991","6","0","3","2","0","4","4","5","4","1","4","2"
"7","1991","7","0","3","2","0","3","5","5","4","1","4","1"
"8","1991","8","0","3","2","0","3","4","5","4","1","4","1"
"9","1991","9","0","1","0","0","3","4","4","4","1","3","2"
"10","1991","10","0","2","1","2","2","3","3","3","2","2","3"
"11","1991","11","0","1","1","2","2","2","2","2","3","1","3"
"12","1991","12","1","2","1","3","1","1","1","1","4","1","3"
"13","1992","1","0","1","1","2","1","1","1","1","3","1","4"
"14","1992","2","1","2","1","2","1","1","1","1","4","1","3"
"15","1992","3","0","1","1","1","2","2","2","1","3","1","3"
"16","1992","4","1","2","2","1","2","3","3","2","2","2","3"
"17","1992","5","1","3","2","1","2","4","4","3","2","3","2"
"18","1992","6","0","3","2","0","3","4","5","4","1","3","2"
"19","1992","7","1","3","2","0","3","5","5","4","1","4","1"
"20","1992","8","0","3","2","0","3","5","5","4","1","4","1"
"21","1992","9","0","2","1","0","3","4","4","3","1","3","2"
"22","1992","10","1","2","1","2","3","3","4","2","2","2","3"
"23","1992","11","0","2","1","2","2","2","2","2","3","1","4"
"24","1992","12","0","1","0","3","1","1","1","1","4","1","4"
"25","1993","1","0","1","1","2","2","1","1","1","4","1","4"
"26","1993","2","0","1","1","1","2","1","1","1","3","1","4"
"27","1993","3","1","2","1","3","2","2","2","2","2","1","3"
"28","1993","4","0","2","1","1","3","3","3","3","3","2","3"
"29","1993","5","1","3","2","0","3","4","4","3","2","2","2"
"30","1993","6","1","2","1","0","4","4","5","4","1","3","2"
"31","1993","7","1","3","2","0","4","5","5","4","1","4","1"
"32","1993","8","1","2","1","1","4","5","5","4","1","3","1"
"33","1993","9","0","2","1","2","3","4","5","3","1","2","2"
"34","1993","10","0","2","1","1","3","3","4","3","2","1","3"
"35","1993","11","0","1","1","2","2","2","2","2","2","1","3"
"36","1993","12","0","2","0","2","2","2","2","1","4","1","4"
"37","1994","1","1","1","0","2","2","2","1","1","4","1","3"
"38","1994","2","0","1","1","2","3","2","2","1","3","1","3"
"39","1994","3","1","2","1","2","2","2","2","2","2","1","3"
"40","1994","4","1","2","1","1","3","3","5","3","2","2","3"
"41","1994","5","1","3","1","0","3","4","4","3","1","3","2"
"42","1994","6","0","2","2","0","4","4","5","4","1","3","1"
"43","1994","7","1","3","2","0","4","5","5","4","1","4","1"
"44","1994","8","0","2","1","1","4","4","5","4","1","3","1"
"45","1994","9","0","2","0","2","3","4","5","4","1","2","2"
"46","1994","10","0","1","1","3","2","4","4","3","2","1","3"
"47","1994","11","0","1","1","2","2","2","2","2","4","1","3"
"48","1994","12","0","1","0","1","2","1","1","1","4","1","4"
"49","1995","1","0","1","0","3","2","1","1","1","4","1","4"
"50","1995","2","0","1","0","2","2","2","2","2","3","1","3"
"51","1995","3","0","1","1","2","3","2","2","2","3","1","3"
"52","1995","4","0","1","1","1","3","3","3","3","2","2","3"
"53","1995","5","0","2","1","1","4","4","4","3","1","3","2"
"54","1995","6","0","1","1","0","4","4","5","4","1","3","2"
"55","1995","7","0","1","1","0","4","5","5","4","1","3","1"
"56","1995","8","0","1","1","0","4","5","5","4","1","3","1"
"57","1995","9","0","1","1","1","3","4","4","3","2","2","2"
"58","1995","10","0","1","0","1","3","3","3","2","2","1","3"
"59","1995","11","0","1","1","1","3","2","2","2","3","1","4"
"60","1995","12","0","1","0","2","2","1","1","1","4","1","4"
"61","1996","1","0","1","1","3","1","1","1","1","4","1","4"
"62","1996","2","0","1","1","2","2","2","2","2","4","1","3"
"63","1996","3","0","1","1","2","2","2","2","2","3","1","3"
"64","1996","4","0","1","1","2","3","3","3","2","2","2","3"
"65","1996","5","0","2","1","2","3","4","4","4","1","3","2"
"66","1996","6","0","1","2","0","4","4","5","4","1","3","4"
"67","1996","7","0","1","1","0","4","5","5","4","1","4","1"
"68","1996","8","0","1","1","0","4","5","5","4","1","3","1"
"69","1996","9","0","2","1","1","3","4","4","4","2","2","2"
"70","1996","10","0","1","2","1","3","3","3","3","2","2","3"
"71","1996","11","0","1","1","1","2","2","2","2","3","1","4"
"72","1996","12","0","1","1","2","2","2","2","2","4","1","4"
"73","1997","1","0","1","0","2","2","1","1","1","4","1","4"
"74","1997","2","0","1","1","2","3","1","1","1","3","1","4"
"75","1997","3","0","1","1","1","3","2","2","1","2","1","3"
"76","1997","4","1","1","1","2","3","3","3","2","2","2","3"
"77","1997","5","0","1","0","1","3","4","4","3","1","3","2"
"78","1997","6","0","1","1","1","4","4","5","4","1","3","1"
"79","1997","7","1","2","2","0","4","5","5","4","1","4","1"
"80","1997","8","0","1","2","0","4","4","5","4","1","3","2"
"81","1997","9","1","2","1","0","3","4","4","3","1","2","2"
"82","1997","10","0","1","1","2","2","3","4","3","2","2","3"
"83","1997","11","0","1","0","3","2","2","2","2","4","1","3"
"84","1997","12","0","1","1","2","2","2","1","2","4","1","4"
"85","1998","1","0","1","1","3","2","1","1","1","4","1","4"
"86","1998","2","0","1","0","2","2","1","1","1","3","1","3"
"87","1998","3","0","1","1","2","2","1","2","2","3","1","3"
"88","1998","4","0","1","1","1","3","3","3","3","2","2","3"
"89","1998","5","0","1","1","1","4","4","4","3","2","2","2"
"90","1998","6","0","1","1","0","4","5","5","4","1","3","4"
"91","1998","7","1","2","1","1","4","5","5","4","1","4","1"
"92","1998","8","0","1","1","0","4","5","5","4","1","4","1"
"93","1998","9","0","2","1","0","3","4","5","4","2","3","2"
"94","1998","10","0","1","0","0","3","3","4","3","2","2","3"
"95","1998","11","0","1","1","2","2","3","3","2","3","1","3"
"96","1998","12","0","1","1","1","2","2","2","1","3","1","4"
"97","1999","1","0","1","1","2","2","1","1","1","4","1","3"
"98","1999","2","0","1","0","2","3","2","2","1","3","1","3"
"99","1999","3","1","1","1","1","3","5","2","2","2","1","3"
"100","1999","4","1","1","1","1","3","3","3","2","2","2","3"
"101","1999","5","1","3","2","1","3","4","4","3","1","3","2"
"102","1999","6","1","2","1","0","4","5","5","4","1","3","1"
"103","1999","7","1","3","2","1","4","5","5","4","1","3","1"
"104","1999","8","0","2","2","0","4","5","5","4","1","3","1"
"105","1999","9","0","1","1","0","3","4","5","3","2","2","2"
"106","1999","10","1","2","1","1","3","3","4","3","2","2","3"
"107","1999","11","0","1","0","1","2","2","2","2","3","1","3"
"108","1999","12","0","1","1","2","2","1","1","1","4","1","4"
"109","2000","1","0","1","1","2","2","1","1","1","4","1","3"
"110","2000","2","0","1","1","1","3","1","1","1","3","1","4"
"111","2000","3","1","2","1","1","3","2","2","2","2","1","3"
"112","2000","4","1","2","2","2","2","3","3","3","2","2","2"
"113","2000","5","2","3","1","1","3","4","4","3","1","2","2"
"114","2000","6","1","2","2","0","4","4","5","4","1","3","1"
"115","2000","7","1","3","1","0","3","5","5","4","1","3","1"
"116","2000","8","0","2","1","0","4","5","5","4","1","3","1"
"117","2000","9","0","2","1","1","3","4","4","3","1","2","2"
"118","2000","10","0","1","1","1","3","3","3","3","3","1","3"
"119","2000","11","0","1","0","1","2","2","2","2","3","1","3"
"120","2000","12","0","1","1","2","2","1","1","1","4","1","4"
"121","2005","1","0","1","1","2","1","1","1","1","3","1","4"
"122","2005","2","0","1","0","2","2","2","1","1","3","1","3"
"123","2005","3","0","1","1","3","2","2","2","2","2","2","3"
"124","2005","4","1","3","1","2","2","3","3","3","2","2","3"
"125","2005","5","1","3","1","1","3","4","4","3","1","3","2"
"126","2005","6","0","3","2","0","3","4","5","4","1","3","2"
"127","2005","7","2","3","2","0","3","5","5","4","1","4","1"
"128","2005","8","1","3","1","0","3","5","5","4","1","3","1"
"129","2005","9","0","3","2","0","2","4","4","4","1","2","2"
"130","2005","10","1","2","1","1","2","3","3","3","2","2","3"
"131","2005","11","0","1","1","2","2","2","2","2","3","1","4"
"132","2005","12","0","2","1","1","2","2","2","2","3","1","4"
"133","2006","1","1","1","1","3","1","1","1","1","4","1","4"
"134","2006","2","1","1","1","2","2","2","2","2","3","1","3"
"135","2006","3","0","2","1","1","2","2","3","2","2","2","3"
"136","2006","4","1","2","1","3","2","3","3","3","2","2","2"
"137","2006","5","1","2","1","1","3","4","4","4","1","3","2"
"138","2006","6","0","2","1","0","3","5","5","4","1","4","2"
"139","2006","7","1","2","2","0","4","5","5","4","1","4","1"
"140","2006","8","0","3","1","0","4","5","5","4","1","3","1"
"141","2006","9","0","2","1","0","3","4","4","4","1","3","2"
"142","2006","10","1","2","1","2","2","4","4","3","2","2","3"
"143","2006","11","0","1","1","1","2","2","2","2","2","1","3"
"144","2006","12","0","1","1","2","2","1","1","1","3","1","4"
"145","2007","1","1","1","1","2","2","1","1","1","3","1","4"
"146","2007","2","0","2","1","2","2","4","2","2","3","1","3"
"147","2007","3","1","1","0","2","2","5","2","2","2","1","3"
"148","2007","4","1","2","1","2","2","3","3","3","2","2","3"
"149","2007","5","0","3","1","2","3","4","4","4","1","3","2"
"150","2007","6","0","2","1","0","4","5","5","4","1","4","1"
"151","2007","7","1","3","2","0","3","5","5","4","1","4","1"
"152","2007","8","0","3","1","0","4","5","5","4","1","3","1"
"153","2007","9","0","2","1","0","3","4","5","4","1","3","2"
"154","2007","10","0","2","0","1","3","4","4","3","1","2","3"
"155","2007","11","0","1","1","0","3","2","2","2","2","1","3"
"156","2007","12","0","1","1","1","2","1","1","1","3","1","4"
"157","2008","1","1","2","1","2","2","1","1","1","3","1","4"
"158","2008","2","1","2","1","2","2","2","1","1","2","1","3"
"159","2008","3","1","3","1","1","2","3","3","2","1","2","3"
"160","2008","4","1","3","1","1","2","3","4","3","1","2","3"
"161","2008","5","1","3","1","1","3","4","4","3","1","3","2"
"162","2008","6","2","3","2","0","3","5","5","4","1","3","2"
"163","2008","7","2","3","2","0","3","5","5","4","1","4","1"
"164","2008","8","1","3","1","1","3","5","5","4","1","3","1"
"165","2008","9","1","3","1","1","2","4","5","4","1","2","2"
"166","2008","10","1","2","1","2","2","3","3","3","2","2","3"
"167","2008","11","0","1","1","2","3","2","2","2","3","1","3"
"168","2008","12","0","1","1","1","2","1","1","1","3","1","4"
"169","2009","1","0","2","1","1","2","1","1","1","3","1","4"
"170","2009","2","1","2","2","1","2","2","2","2","2","1","3"
"171","2009","3","1","2","1","2","2","2","2","2","2","2","3"
"172","2009","4","1","2","1","2","2","3","3","3","2","2","3"
"173","2009","5","1","3","1","1","3","4","4","4","1","3","2"
"174","2009","6","2","3","1","1","3","5","5","4","1","4","2"
"175","2009","7","2","3","2","0","3","5","5","4","1","4","1"
"176","2009","8","1","3","1","0","4","5","5","4","1","3","4"
"177","2009","9","0","2","1","1","3","4","4","4","1","2","2"
"178","2009","10","0","3","1","2","2","4","4","3","2","2","3"
"179","2009","11","0","1","0","2","2","2","2","2","3","1","3"
"180","2009","12","0","1","1","2","2","2","2","2","4","1","3"
"181","2010","1","0","2","2","1","2","2","2","2","3","1","4"
"182","2010","2","1","2","1","2","2","2","2","2","3","1","3"
"183","2010","3","1","2","1","2","2","3","3","2","2","1","3"
"184","2010","4","0","2","1","2","2","3","3","3","2","2","3"
"185","2010","5","1","3","1","2","3","4","4","4","1","2","2"
"186","2010","6","1","3","1","0","3","5","5","4","1","3","2"
"187","2010","7","1","2","1","0","4","5","5","5","1","4","1"
